symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
HANA,HANA.BK,HANA MICROELECTRONICS,Electronic Components,37.25,True,7,90.0,False,53.0,39.75,6.71,
SPRC,SPRC.BK,STAR PETROLEUM REFINING,Energy & Utilities,10.7,True,7,97.0,False,46.0,7.5,-29.91,
TTB,TTB.BK,TMBTHANACHART BANK,Banking,3.08,True,7,89.0,False,46.0,2.42,-21.43,
SKY,SKY.BK,SKY ICT,Information & Communication Technology,18.7,True,7,91.0,False,42.67,18.3,-2.14,
PTTGC,PTTGC.BK,PTT GLOBAL CHEMICAL,Petrochemicals & Chemicals,38.5,True,7,71.0,False,40.67,40.0,3.9,
GPSC,GPSC.BK,GLOBAL POWER SYNERGY,Energy & Utilities,54.0,True,7,88.0,False,36.67,44.5,-17.59,
JMART,JMART.BK,JAYMART GROUP HOLDINGS,Information & Communication Technology,11.2,True,7,87.0,False,36.67,9.55,-14.73,
ROJNA,ROJNA.BK,ROJANA INDUSTRIAL PARK,Property Development,6.05,True,7,80.0,False,36.67,5.7,-5.79,
ERW,ERW.BK,THE ERAWAN GROUP,Tourism & Leisure,3.28,True,7,78.0,False,36.67,3.04,-7.32,
KKP,KKP.BK,KIATNAKIN PHATRA BANK,Banking,120.0,True,7,98.0,False,33.75,76.38,-36.35,
KTB,KTB.BK,KRUNG THAI BANK,Banking,43.5,True,7,95.0,False,33.75,36.5,-16.09,
AWC,AWC.BK,ASSET WORLD CORP,Property Development,3.0,True,7,84.0,False,33.75,2.64,-12.0,
PLANB,PLANB.BK,PLAN B MEDIA,Media & Publishing,6.1,True,7,83.0,False,33.75,5.7,-6.56,
TCAP,TCAP.BK,THANACHART CAPITAL,Banking,73.75,True,7,81.0,False,33.75,74.5,1.02,
AOT,AOT.BK,AIRPORTS OF THAILAND,Transportation & Logistics,64.0,True,7,79.0,False,33.75,64.75,1.17,
PRM,PRM.BK,PRIMA MARINE,Transportation & Logistics,9.9,True,7,76.0,False,33.75,9.0,-9.09,
RATCH,RATCH.BK,RATCH GROUP,Energy & Utilities,38.75,True,7,75.0,False,33.75,31.25,-19.35,
BCP,BCP.BK,BANGCHAK CORPORATION,Energy & Utilities,44.25,True,7,74.0,False,33.75,40.0,-9.6,
SCGP,SCGP.BK,SCG PACKAGING,Packaging,29.75,True,7,82.0,False,29.38,29.25,-1.68,
COM7,COM7.BK,COM7,Commerce,30.75,True,7,77.0,False,29.38,28.5,-7.32,
TOP,TOP.BK,THAI OIL,Energy & Utilities,64.0,True,7,94.0,False,28.75,65.75,2.73,
GUNKUL,GUNKUL.BK,GUNKUL ENGINEERING,Energy & Utilities,5.1,True,7,99.0,False,27.25,5.4,5.88,
IRPC,IRPC.BK,IRPC,Energy & Utilities,2.16,True,7,93.0,False,25.83,2.06,-4.63,
KCE,KCE.BK,KCE ELECTRONICS,Electronic Components,41.5,True,7,96.0,False,21.25,45.25,9.04,
BLA,BLA.BK,BANGKOK LIFE ASSURANCE,Insurance,25.5,True,7,70.0,False,21.25,27.5,7.84,
AMATA,AMATA.BK,AMATA CORPORATION,Property Development,27.0,True,7,92.0,False,16.88,28.5,5.56,
KTC,KTC.BK,KRUNGTHAI CARD,Finance & Securities,38.5,True,7,73.0,False,0.0,40.5,5.19,
KBANK,KBANK.BK,KASIKORNBANK,Banking,242.0,True,7,72.0,False,0.0,195.0,-19.42,
TIDLOR,TIDLOR.BK,TIDLOR HOLDINGS,Finance & Securities,19.1,False,6,38.0,False,61.0,20.0,4.71,
BJC,BJC.BK,BERLI JUCKER,Commerce,16.2,False,3,19.0,False,55.0,15.1,-6.79,
MOSHI,MOSHI.BK,MOSHI MOSHI RETAIL CORPORATION,Commerce,39.75,False,6,42.0,False,49.5,38.0,-4.4,
BGRIM,BGRIM.BK,B.GRIMM POWER,Energy & Utilities,19.4,False,6,86.0,False,46.0,19.6,1.03,
BH,BH.BK,BUMRUNGRAD HOSPITAL,Health Care Services,183.0,False,7,40.0,False,46.0,186.5,1.91,
PTTEP,PTTEP.BK,PTT EXPLORATION AND PRODUCTION,Energy & Utilities,150.0,False,7,50.0,False,44.0,161.5,7.67,
CENTEL,CENTEL.BK,CENTRAL PLAZA HOTEL,Tourism & Leisure,38.25,False,7,59.0,False,41.0,38.25,0.0,
CK,CK.BK,CH. KARNCHANG,Construction Services,18.1,False,6,56.0,False,41.0,20.2,11.6,
COCOCO,COCOCO.BK,Thai Coconut,Food & Beverage,5.85,False,3,6.0,False,41.0,6.1,4.27,
M,M.BK,MK RESTAURANT GROUP,Food & Beverage,21.3,False,0,21.0,False,40.75,22.1,3.76,
BEM,BEM.BK,BANGKOK EXPRESSWAY AND METRO,Transportation & Logistics,6.7,False,7,63.0,False,36.67,6.8,1.49,
ICHI,ICHI.BK,ICHITAN GROUP,Food & Beverage,14.8,False,7,58.0,False,36.67,13.2,-10.81,
CPN,CPN.BK,CENTRAL PATTANA,Property Development,67.75,False,7,51.0,False,36.67,68.25,0.74,
MTC,MTC.BK,MUANGTHAI CAPITAL,Finance & Securities,34.25,False,3,17.0,False,36.67,33.75,-1.46,
CCET,CCET.BK,CAL-COMP ELECTRONICS (THAILAND),Electronic Components,8.55,False,6,85.0,False,36.25,9.2,7.6,
CRC,CRC.BK,CENTRAL RETAIL CORPORATION,Commerce,24.1,False,7,64.0,False,33.75,23.9,-0.83,
SJWD,SJWD.BK,SCGJWD LOGISTICS,Transportation & Logistics,9.3,False,5,54.0,False,33.75,7.89,-15.18,
SCC,SCC.BK,THE SIAM CEMENT,Construction Materials,254.0,False,7,47.0,False,33.75,246.0,-3.15,
MINT,MINT.BK,MINOR INTERNATIONAL,Tourism & Leisure,23.0,False,5,25.0,False,33.5,24.8,7.83,
PTT,PTT.BK,PTT,Energy & Utilities,39.0,False,7,49.0,False,30.83,39.75,1.92,
EGCO,EGCO.BK,ELECTRICITY GENERATING,Energy & Utilities,134.5,False,6,46.0,False,30.83,117.5,-12.64,
CKP,CKP.BK,CK POWER,Energy & Utilities,2.56,False,4,35.0,False,30.83,2.48,-3.12,
MEGA,MEGA.BK,MEGA LIFESCIENCES,Commerce,37.5,False,7,45.0,False,29.38,38.0,1.33,
GULF,GULF.BK,GULF DEVELOPMENT,Energy & Utilities,65.25,False,7,69.0,False,28.75,67.75,3.83,
BA,BA.BK,BANGKOK AIRWAYS,Transportation & Logistics,18.4,False,7,66.0,False,28.75,19.0,3.26,
JMT,JMT.BK,JMT NETWORK SERVICES,Finance & Securities,12.1,False,6,60.0,False,28.75,12.4,2.48,
OSP,OSP.BK,OSOTSPA,Food & Beverage,17.4,False,5,41.0,False,28.75,17.9,2.87,
SAPPE,SAPPE.BK,SAPPE,Food & Beverage,34.25,False,5,34.0,False,28.75,33.75,-1.46,
GLOBAL,GLOBAL.BK,SIAM GLOBAL HOUSE,Commerce,7.25,False,6,33.0,False,27.25,7.7,6.21,
QH,QH.BK,QUALITY HOUSES,Property Development,1.39,False,6,32.0,False,25.83,1.43,2.88,
AEONTS,AEONTS.BK,AEON THANA SINSAP (THAILAND),Finance & Securities,105.0,False,4,28.0,False,25.83,110.5,5.24,
CPF,CPF.BK,CHAROEN POKPHAND FOODS,Food & Beverage,21.9,False,3,29.0,False,25.0,22.3,1.83,
BDMS,BDMS.BK,BANGKOK DUSIT MEDICAL SERVICES,Health Care Services,19.0,False,4,11.0,False,24.5,21.55,13.4,
AP,AP.BK,AP (THAILAND),Property Development,8.05,False,3,22.0,False,24.17,8.2,1.86,
BAM,BAM.BK,BANGKOK COMMERCIAL ASSET MANAGEMENT,Finance & Securities,7.0,False,4,13.0,False,24.17,6.95,-0.71,
WHA,WHA.BK,WHA CORPORATION,Property Development,4.9,False,6,67.0,False,21.25,5.25,7.14,
TRUE,TRUE.BK,TRUE CORPORATION,Information & Communication Technology,13.9,False,7,48.0,False,21.25,14.66,5.45,
IVL,IVL.BK,INDORAMA VENTURES,Petrochemicals & Chemicals,24.1,False,7,36.0,False,21.25,25.32,5.05,
DOHOME,DOHOME.BK,DOHOME,Commerce,3.82,False,4,30.0,False,21.25,3.96,3.66,
TASCO,TASCO.BK,TIPCO ASPHALT,Construction Materials,13.8,False,5,16.0,False,21.25,14.4,4.35,
HMPRO,HMPRO.BK,HOME PRODUCT CENTER,Commerce,6.55,False,4,14.0,False,21.25,6.3,-3.82,
EA,EA.BK,ENERGY ABSOLUTE,Energy & Utilities,2.92,False,3,24.0,False,20.75,3.54,21.23,
TISCO,TISCO.BK,TISCO FINANCIAL GROUP,Banking,129.0,False,7,57.0,False,20.0,133.0,3.1,
ADVANC,ADVANC.BK,ADVANCED INFO SERVICE,Information & Communication Technology,373.0,False,7,50.0,False,20.0,384.0,2.95,
ITC,ITC.BK,i-Tail Corporation,Food & Beverage,17.0,False,6,37.0,False,20.0,17.52,3.06,
PR9,PR9.BK,PRARAM 9 HOSPITAL,Health Care Services,17.9,False,1,9.0,False,18.33,18.4,2.79,
VGI,VGI.BK,VGI,Media & Publishing,1.0,False,1,7.0,False,18.33,1.07,7.0,
STGT,STGT.BK,SRI TRANG GLOVES (THAILAND),Personal Products & Pharmaceuticals,10.4,False,6,62.0,False,17.75,11.9,14.42,
CBG,CBG.BK,CARABAO GROUP,Food & Beverage,51.25,False,5,52.0,False,16.88,54.0,5.37,
