symbol,yf_ticker,company,sector
AAV,AAV.BK,ASIA AVIATION,Transportation & Logistics
ADVANC,ADVANC.BK,ADVANCED INFO SERVICE,Information & Communication Technology
AEONTS,AEONTS.BK,AEON THANA SINSAP (THAILAND),Finance & Securities
AMATA,AMATA.BK,AMATA CORPORATION,Property Development
AOT,AOT.BK,AIRPORTS OF THAILAND,Transportation & Logistics
AP,AP.BK,AP (THAILAND),Property Development
AWC,AWC.BK,ASSET WORLD CORP,Property Development
BA,BA.BK,BANGKOK AIRWAYS,Transportation & Logistics
BAM,BAM.BK,BANGKOK COMMERCIAL ASSET MANAGEMENT,Finance & Securities
BANPU,BANPU.BK,BANPU,Energy & Utilities
BBL,BBL.BK,BANGKOK BANK,Banking
BCH,BCH.BK,BANGKOK CHAIN HOSPITAL,Health Care Services
BCP,BCP.BK,BANGCHAK CORPORATION,Energy & Utilities
BCPG,BCPG.BK,BCPG,Energy & Utilities
BDMS,BDMS.BK,BANGKOK DUSIT MEDICAL SERVICES,Health Care Services
BEM,BEM.BK,BANGKOK EXPRESSWAY AND METRO,Transportation & Logistics
BGRIM,BGRIM.BK,B.GRIMM POWER,Energy & Utilities
BH,BH.BK,BUMRUNGRAD HOSPITAL,Health Care Services
BJC,BJC.BK,BERLI JUCKER,Commerce
BLA,BLA.BK,BANGKOK LIFE ASSURANCE,Insurance
BTG,BTG.BK,BETAGRO,Food & Beverage
BTS,BTS.BK,BTS GROUP HOLDINGS,Transportation & Logistics
CBG,CBG.BK,CARABAO GROUP,Food & Beverage
CCET,CCET.BK,CAL-COMP ELECTRONICS (THAILAND),Electronic Components
CENTEL,CENTEL.BK,CENTRAL PLAZA HOTEL,Tourism & Leisure
CHG,CHG.BK,CHULARAT HOSPITAL,Health Care Services
CK,CK.BK,CH. KARNCHANG,Construction Services
CKP,CKP.BK,CK POWER,Energy & Utilities
COCOCO,COCOCO.BK,Thai Coconut,Food & Beverage
COM7,COM7.BK,COM7,Commerce
CPALL,CPALL.BK,CP ALL,Commerce
CPF,CPF.BK,CHAROEN POKPHAND FOODS,Food & Beverage
CPN,CPN.BK,CENTRAL PATTANA,Property Development
CRC,CRC.BK,CENTRAL RETAIL CORPORATION,Commerce
DELTA,DELTA.BK,DELTA ELECTRONICS (THAILAND),Electronic Components
DOHOME,DOHOME.BK,DOHOME,Commerce
EA,EA.BK,ENERGY ABSOLUTE,Energy & Utilities
EGCO,EGCO.BK,ELECTRICITY GENERATING,Energy & Utilities
ERW,ERW.BK,THE ERAWAN GROUP,Tourism & Leisure
GLOBAL,GLOBAL.BK,SIAM GLOBAL HOUSE,Commerce
GPSC,GPSC.BK,GLOBAL POWER SYNERGY,Energy & Utilities
GULF,GULF.BK,GULF DEVELOPMENT,Energy & Utilities
GUNKUL,GUNKUL.BK,GUNKUL ENGINEERING,Energy & Utilities
HANA,HANA.BK,HANA MICROELECTRONICS,Electronic Components
HMPRO,HMPRO.BK,HOME PRODUCT CENTER,Commerce
ICHI,ICHI.BK,ICHITAN GROUP,Food & Beverage
IRPC,IRPC.BK,IRPC,Energy & Utilities
ITC,ITC.BK,i-Tail Corporation,Food & Beverage
IVL,IVL.BK,INDORAMA VENTURES,Petrochemicals & Chemicals
JAS,JAS.BK,JASMINE INTERNATIONAL,Information & Communication Technology
JMART,JMART.BK,JAYMART GROUP HOLDINGS,Information & Communication Technology
JMT,JMT.BK,JMT NETWORK SERVICES,Finance & Securities
KBANK,KBANK.BK,KASIKORNBANK,Banking
KCE,KCE.BK,KCE ELECTRONICS,Electronic Components
KKP,KKP.BK,KIATNAKIN PHATRA BANK,Banking
KTB,KTB.BK,KRUNG THAI BANK,Banking
KTC,KTC.BK,KRUNGTHAI CARD,Finance & Securities
LH,LH.BK,LAND AND HOUSES,Property Development
M,M.BK,MK RESTAURANT GROUP,Food & Beverage
MEGA,MEGA.BK,MEGA LIFESCIENCES,Commerce
MINT,MINT.BK,MINOR INTERNATIONAL,Tourism & Leisure
MOSHI,MOSHI.BK,MOSHI MOSHI RETAIL CORPORATION,Commerce
MTC,MTC.BK,MUANGTHAI CAPITAL,Finance & Securities
OR,OR.BK,PTT OIL AND RETAIL BUSINESS,Energy & Utilities
OSP,OSP.BK,OSOTSPA,Food & Beverage
PLANB,PLANB.BK,PLAN B MEDIA,Media & Publishing
PR9,PR9.BK,PRARAM 9 HOSPITAL,Health Care Services
PRM,PRM.BK,PRIMA MARINE,Transportation & Logistics
PTT,PTT.BK,PTT,Energy & Utilities
PTTEP,PTTEP.BK,PTT EXPLORATION AND PRODUCTION,Energy & Utilities
PTTGC,PTTGC.BK,PTT GLOBAL CHEMICAL,Petrochemicals & Chemicals
QH,QH.BK,QUALITY HOUSES,Property Development
RATCH,RATCH.BK,RATCH GROUP,Energy & Utilities
RCL,RCL.BK,REGIONAL CONTAINER LINES,Transportation & Logistics
ROJNA,ROJNA.BK,ROJANA INDUSTRIAL PARK,Property Development
SAPPE,SAPPE.BK,SAPPE,Food & Beverage
SAWAD,SAWAD.BK,SRISAWAD CORPORATION,Finance & Securities
SCB,SCB.BK,SCB X,Banking
SCC,SCC.BK,THE SIAM CEMENT,Construction Materials
SCGP,SCGP.BK,SCG PACKAGING,Packaging
SIRI,SIRI.BK,SANSIRI,Property Development
SISB,SISB.BK,SISB,Professional Services
SJWD,SJWD.BK,SCGJWD LOGISTICS,Transportation & Logistics
SKY,SKY.BK,SKY ICT,Information & Communication Technology
SNNP,SNNP.BK,SRINANAPORN MARKETING,Food & Beverage
SPALI,SPALI.BK,SUPALAI,Property Development
SPRC,SPRC.BK,STAR PETROLEUM REFINING,Energy & Utilities
STA,STA.BK,SRI TRANG AGRO-INDUSTRY,Agribusiness
STGT,STGT.BK,SRI TRANG GLOVES (THAILAND),Personal Products & Pharmaceuticals
TASCO,TASCO.BK,TIPCO ASPHALT,Construction Materials
TCAP,TCAP.BK,THANACHART CAPITAL,Banking
TIDLOR,TIDLOR.BK,TIDLOR HOLDINGS,Finance & Securities
TISCO,TISCO.BK,TISCO FINANCIAL GROUP,Banking
TLI,TLI.BK,THAI LIFE INSURANCE,Insurance
TOP,TOP.BK,THAI OIL,Energy & Utilities
TRUE,TRUE.BK,TRUE CORPORATION,Information & Communication Technology
TTB,TTB.BK,TMBTHANACHART BANK,Banking
TU,TU.BK,THAI UNION GROUP,Food & Beverage
VGI,VGI.BK,VGI,Media & Publishing
WHA,WHA.BK,WHA CORPORATION,Property Development
