symbol,yf_ticker,company,sector
2S,2S.BK,2S METAL PUBLIC COMPANY LIMITED,Steel and Metal Products
3BBIF,3BBIF.BK,3BB INTERNET INFRASTRUCTURE FUND,Information & Communication Technology
88TH,88TH.BK,88(Thailand) Public Company Limited,-
A,A.BK,AREEYA PROPERTY PUBLIC COMPANY LIMITED,Property Development
A5,A5.BK,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,Property Development
AAI,AAI.BK,Asian Alliance International Public Company Limited,Food & Beverage
AAV,AAV.BK,ASIA AVIATION PUBLIC COMPANY LIMITED,Transportation & Logistics
ABM,ABM.BK,ASIA BIOMASS PUBLIC COMPANY LIMITED,-
ACAP,ACAP.BK,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,-
ACC,ACC.BK,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities
ACE,ACE.BK,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities
ACG,ACG.BK,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,Automotive
ADB,ADB.BK,APPLIED DB PUBLIC COMPANY LIMITED,-
ADD,ADD.BK,ADDTECH HUB PUBLIC COMPANY LIMITED,-
ADVANC,ADVANC.BK,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Information & Communication Technology
ADVICE,ADVICE.BK,Advice IT Infinite Public Company Limited,Commerce
AE,AE.BK,ALL ENERGY & UTILITIES PUBLIC COMPANY LIMITED,Energy & Utilities
AEONTS,AEONTS.BK,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,Finance & Securities
AF,AF.BK,AIRA FACTORING PUBLIC COMPANY LIMITED,-
AFC,AFC.BK,ASIA FIBER PUBLIC COMPANY LIMITED,Fashion
AGE,AGE.BK,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities
AH,AH.BK,AAPICO HITECH PUBLIC COMPANY LIMITED,Automotive
