symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
ALUCON,ALUCON.BK,ALUCON PUBLIC COMPANY LIMITED,Packaging,251.0,True,7,78.0,True,75.0,253.0,0.8,
BKGI,BKGI.BK,Bangkok Genomics Innovation Public Company Limited,Health Care Services,2.3,True,7,91.0,True,69.0,2.2,-4.35,
III,III.BK,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,Transportation & Logistics,5.25,True,7,77.0,False,60.0,4.68,-10.86,
TKS,TKS.BK,T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED,Media & Publishing,7.8,True,7,74.0,False,60.0,7.39,-5.29,
SCL,SCL.BK,S.C.L. Motor Part Public Company Limited,-,1.6,True,7,81.0,False,57.5,1.64,2.72,
HANA,HANA.BK,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,Electronic Components,46.75,True,7,98.0,False,56.5,39.25,-16.04,
SIAM,SIAM.BK,SIAM STEEL INTERNATIONAL PUBLIC COMPANY LIMITED,Home & Office Products,0.97,True,7,85.0,False,56.5,0.8,-17.53,
SMART,SMART.BK,SMART CONCRETE PUBLIC COMPANY LIMITED,-,0.65,True,7,83.0,False,56.5,0.59,-9.01,
TFG,TFG.BK,THAIFOODS GROUP PUBLIC COMPANY LIMITED,Food & Beverage,10.1,True,7,96.0,False,52.0,10.95,8.42,
BGRIM,BGRIM.BK,B.GRIMM POWER PUBLIC COMPANY LIMITED,Energy & Utilities,20.7,True,7,92.0,False,52.0,19.41,-6.22,
BEM,BEM.BK,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,Transportation & Logistics,7.0,True,7,83.0,False,50.0,7.35,5.0,
CNT,CNT.BK,CHRISTIANI & NIELSEN (THAI) PUBLIC COMPANY LIMITED,Construction Services,3.32,True,7,99.0,False,49.5,1.83,-44.81,
JAK,JAK.BK,JAKPAISAN ESTATE PUBLIC COMPANY LIMITED,-,1.23,True,7,96.0,False,48.75,1.13,-8.13,
NEO,NEO.BK,Neo Corporate Public Company Limited,Personal Products & Pharmaceuticals,23.9,True,7,86.0,False,45.83,24.2,1.26,
SEAFCO,SEAFCO.BK,SEAFCO PUBLIC COMPANY LIMITED,Construction Services,3.02,True,7,86.0,False,45.75,2.96,-2.02,
BA,BA.BK,BANGKOK AIRWAYS PUBLIC COMPANY LIMITED,Transportation & Logistics,19.4,True,7,82.0,False,45.75,19.0,-2.06,
ASEFA,ASEFA.BK,ASEFA PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,6.25,True,7,93.0,False,45.67,6.35,1.6,
UMI,UMI.BK,THE UNION MOSAIC INDUSTRY PUBLIC COMPANY LIMITED,Construction Materials,0.95,True,7,72.0,False,44.5,0.97,2.11,
LHFG,LHFG.BK,LH FINANCIAL GROUP PUBLIC COMPANY LIMITED,Banking,1.24,True,7,86.0,False,43.75,1.3,4.84,
TQM,TQM.BK,TQM ALPHA PUBLIC COMPANY LIMITED,Insurance,16.3,True,7,84.0,False,43.75,16.66,2.22,
ROJNA,ROJNA.BK,ROJANA INDUSTRIAL PARK PUBLIC COMPANY LIMITED,Property Development,5.95,True,7,81.0,False,43.67,6.2,4.2,
POPF,POPF.BK,PRIME OFFICE LEASEHOLD PROPERTY FUND,Property Fund & REITs,8.8,True,7,80.0,False,42.83,8.95,1.7,
MTI,MTI.BK,MUANG THAI INSURANCE PUBLIC COMPANY LIMITED,Insurance,19.0,True,7,78.0,False,42.83,19.1,0.53,
HTECH,HTECH.BK,HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,4.76,True,7,95.0,False,41.0,5.0,5.02,
RJH,RJH.BK,RAJTHANEE HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services,15.3,True,7,75.0,False,41.0,15.84,3.54,
TPIPL,TPIPL.BK,TPI POLENE PUBLIC COMPANY LIMITED,Construction Materials,0.91,True,7,74.0,False,41.0,0.93,2.2,
AGE,AGE.BK,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,1.43,True,7,70.0,False,41.0,1.38,-3.5,
CCET,CCET.BK,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",Electronic Components,8.93,True,7,88.0,False,40.75,9.13,2.22,
JMART,JMART.BK,JAYMART GROUP HOLDINGS PUBLIC COMPANY LIMITED,Information & Communication Technology,11.0,True,7,86.0,False,40.75,11.5,4.55,
